30,1672055080,1672055110,mengxinxin,12
17,1672056383,1672056400,mengxinxin,12
4,1672056653,1672056657,mengxinxin,12
2,1672056876,1672056878,mengxinxin,12
2,1672056891,1672056893,mengxinxin,12
2,1672057120,1672057122,mengxinxin,12
3,1672057327,1672057330,mengxinxin,12
3,1672057857,1672057860,mengxinxin,12
3,1672059277,1672059280,mengxinxin,12
4,1672059461,1672059465,mengxinxin,12
4,1672059518,1672059522,mengxinxin,12
2,1672059577,1672059579,mengxinxin,12
3,1672059740,1672059743,mengxinxin,12
2,1672059802,1672059804,mengxinxin,12
12,1672061702,1672061714,mengxinxin,12
1,1672061791,1672061792,mengxinxin,12
2,1672061829,1672061831,mengxinxin,12
5,1672062189,1672062194,mengxinxin,12
2,1672062493,1672062495,mengxinxin,12
3,1672062870,1672062873,mengxinxin,12
2,1672062912,1672062914,mengxinxin,12
1,1672062970,1672062971,mengxinxin,12
1,1672063000,1672063001,mengxinxin,12
1,1672063023,1672063024,mengxinxin,12
3,1672063572,1672063575,mengxinxin,12
2,1672063609,1672063611,mengxinxin,12
2,1672063783,1672063785,mengxinxin,12
2,1672064149,1672064151,mengxinxin,12
2,1672064179,1672064181,mengxinxin,12
2,1672064568,1672064570,mengxinxin,12
2,1672064667,1672064669,mengxinxin,12
3,1672105346,1672105349,mengxinxin,12
2,1672105369,1672105371,mengxinxin,12
1,1672105422,1672105423,mengxinxin,12
28,1672105592,1672105620,mengxinxin,12
3,1672105692,1672105695,mengxinxin,12
2,1672105838,1672105840,mengxinxin,12
2,1672105944,1672105946,mengxinxin,12
2,1672105986,1672105988,mengxinxin,12
14,1672106930,1672106944,mengxinxin,12
4,1672106999,1672107003,mengxinxin,12
3,1672107376,1672107379,mengxinxin,12
3,1672107409,1672107412,mengxinxin,12
1,1672107575,1672107576,mengxinxin,12
2,1672107640,1672107642,mengxinxin,12
6,1672107922,1672107928,mengxinxin,12
